date,open,high,low,close,volume,amount
2024-05-10,360.600,361.000,351.800,357.800,15693045,5809252096.000
2024-05-13,355.400,366.800,354.800,365.000,20558084,7727774464.000
2024-05-14,367.800,371.600,365.400,368.600,21603101,8251923712.000
2024-05-16,386.800,387.800,381.400,383.800,58430778,23268551936.000
2024-05-17,387.200,390.400,384.400,385.200,27916392,11081611008.000
2024-05-20,387.200,390.000,383.000,385.200,22331961,8829405440.000
2024-05-21,383.600,383.600,369.800,373.800,30679849,11791772160.000
2024-05-22,369.400,377.000,366.800,374.600,22374764,8564093696.000
2024-05-23,370.800,374.200,366.600,372.000,18323988,6982435840.000
2024-05-24,368.400,372.800,365.000,367.200,19143321,7222648064.000
2024-05-27,362.200,367.800,352.600,367.600,32132068,11927773440.000
2024-05-28,367.400,376.200,363.600,370.400,16614787,6330014208.000
2024-05-29,367.600,370.000,359.800,361.200,27378220,10232747264.000
2024-05-30,360.200,364.400,356.000,358.200,22006500,8119057664.000
2024-05-31,361.400,369.200,350.000,350.000,40035868,14674997504.000
2024-06-03,357.000,369.200,356.800,365.200,28125374,10465478656.000
2024-06-04,365.200,369.800,364.000,367.600,18043066,6808408320.000
2024-06-05,367.800,378.000,367.800,371.000,20205424,7734931456.000
2024-06-06,377.600,381.200,369.200,371.800,18888938,7252563200.000
2024-06-07,373.200,374.800,363.000,365.000,25247259,9484569600.000
2024-06-11,357.600,368.000,357.600,364.000,26496779,9897549312.000
2024-06-12,364.000,368.000,359.800,361.000,14960058,5568239360.000
2024-06-13,366.600,370.800,363.800,370.000,15337042,5782500096.000
2024-06-14,373.800,373.800,368.800,370.000,20859332,7947024640.000
2024-06-17,366.400,376.000,365.000,371.400,15281150,5828851456.000
2024-06-18,371.600,374.000,367.200,367.200,14278934,5421694720.000
2024-06-19,370.600,381.200,368.600,379.200,22313477,8621510912.000
2024-06-20,382.200,382.200,375.800,377.800,14049005,5458760192.000
2024-06-21,374.000,375.400,368.200,371.600,25855005,9865327616.000
2024-06-24,367.800,371.200,364.200,370.600,12919565,4877042688.000
2024-06-25,372.000,375.200,368.800,372.200,12789522,4886651392.000
2024-06-26,369.400,373.200,367.200,372.200,11886907,4523976704.000
2024-06-27,369.800,370.200,362.400,364.600,17513758,6579330048.000
2024-06-28,361.800,366.200,361.000,362.600,15561097,5808359680.000
2024-07-02,357.200,366.400,355.400,359.400,27266647,10065077760.000
2024-07-03,357.000,371.000,357.000,369.600,22256951,8344723456.000
2024-07-04,377.000,377.000,368.800,372.600,15437093,5903308288.000
2024-07-05,375.000,375.800,369.000,370.000,10522095,4013583392.000
2024-07-08,372.000,373.400,365.800,368.800,11623215,4404429824.000
2024-07-09,367.200,372.400,366.200,371.200,13024401,4937581824.000
2024-07-10,375.400,376.000,367.000,367.800,15586645,5939592192.000
2024-07-11,369.600,376.200,368.400,375.000,16590064,6361566208.000
2024-07-12,381.000,387.400,379.400,387.200,27521352,10843285248.000
2024-07-15,383.400,387.200,378.800,380.400,13680185,5356488192.000
2024-07-16,376.200,377.600,368.000,368.200,19061149,7266853632.000
2024-07-17,365.200,367.600,358.600,362.000,25857823,9626459904.000
2024-07-18,358.200,361.800,357.200,359.400,18944747,7004246016.000
2024-07-19,356.800,358.600,353.200,354.200,23088518,8436931072.000
2024-07-22,357.400,366.000,355.600,363.400,16960926,6308844544.000
2024-07-23,365.200,366.600,356.200,356.400,12104461,4468644096.000
2024-07-24,356.000,359.800,350.800,353.400,11800216,4296613376.000
2024-07-25,350.400,351.800,341.200,341.400,25787277,9109434880.000
2024-07-26,343.000,348.600,342.600,344.600,13267324,4713926912.000
2024-07-29,350.000,352.200,344.000,348.400,12872249,4621511168.000
2024-07-30,345.600,347.800,342.600,343.800,9749595,3449679968.000
2024-07-31,342.400,357.000,341.200,352.400,20304313,7342932736.000
2024-08-01,354.000,358.800,353.800,355.800,12412285,4542267392.000
2024-08-02,351.000,355.600,346.400,348.400,17707597,6362989312.000
2024-08-05,342.200,354.400,339.200,346.800,22963458,8149878016.000
2024-08-06,350.800,353.600,339.600,344.600,17674374,6271399936.000
2024-08-07,345.400,355.600,345.400,353.600,15840290,5741644800.000
2024-08-08,351.400,364.600,349.600,358.400,18811540,6937668096.000
2024-08-09,361.600,366.200,358.600,360.200,16353916,6076519168.000
2024-08-12,362.200,366.800,360.200,365.200,10215275,3820531728.000
2024-08-13,366.200,370.800,365.800,368.800,13590391,5139849728.000
2024-08-14,368.800,369.600,359.600,364.000,18692686,6972998400.000
2024-08-15,356.400,365.000,354.400,358.600,21443850,7911688704.000
2024-08-16,362.200,365.400,359.000,362.800,16414338,6118049536.000
2024-08-19,367.800,367.800,361.400,362.800,15210162,5682955520.000
2024-08-20,363.000,364.000,359.200,360.600,11852608,4396264704.000
2024-08-21,357.600,364.000,355.400,361.800,11647083,4321314048.000
2024-08-22,365.000,368.000,361.400,368.000,16786859,6292362496.000
2024-08-23,367.200,368.800,363.800,365.800,13055635,4915768320.000
2024-08-26,368.200,375.000,367.800,372.200,16251125,6187193088.000
2024-08-27,368.200,372.800,367.400,372.000,13675535,5201725440.000
2024-08-28,373.200,373.200,362.600,364.400,14602521,5488468992.000
2024-08-29,360.200,368.200,359.200,367.800,12890430,4823697920.000
2024-08-30,367.800,375.800,367.000,372.200,30873303,11814702080.000
2024-09-02,370.200,373.400,366.600,368.000,13878671,5266962688.000
2024-09-03,368.200,371.600,365.000,368.400,9814885,3712928880.000
2024-09-04,364.400,366.800,361.400,363.000,13278870,4953267456.000
2024-09-05,360.600,366.800,360.600,363.600,9576319,3573609648.000
2024-09-09,360.200,361.400,355.400,361.400,20078164,7403940608.000
2024-09-10,359.400,360.800,356.200,358.800,12303441,4541788160.000
2024-09-11,356.800,360.800,355.200,360.400,12043623,4427792896.000
2024-09-12,361.200,367.200,359.800,362.800,13800366,5155819264.000
2024-09-13,363.000,367.000,363.000,365.000,11013765,4126159328.000
2024-09-16,362.800,368.000,360.600,368.000,7689238,2888661600.000
2024-09-17,362.200,371.600,362.200,370.200,10147851,3843832272.000
2024-09-19,369.800,380.000,366.800,379.000,25801963,9956352000.000
2024-09-20,380.200,383.600,374.000,378.800,28407069,11037803008.000
2024-09-23,378.200,382.200,375.400,377.800,15223032,5901921792.000
2024-09-24,383.200,392.400,379.600,392.400,42919010,17036649472.000
2024-09-25,408.200,408.200,391.600,395.600,40112126,16419449344.000
2024-09-26,398.200,420.200,397.000,420.200,50254878,21170861568.000
2024-09-27,433.400,435.000,422.800,428.000,57154793,25050353664.000
2024-09-30,439.800,447.600,424.400,434.800,75459468,33640909824.000
2024-10-02,440.200,469.800,439.400,460.200,48766943,22740694528.000
2024-10-03,461.200,466.800,443.400,456.400,31600782,14666391296.000
2024-10-04,460.200,469.200,452.400,467.800,24663665,11687744256.000
2024-10-07,470.000,472.600,459.800,468.600,25334387,12100493312.000
2024-10-08,462.200,467.000,428.800,428.800,70468024,31910928640.000
2024-10-09,439.200,443.200,414.200,424.400,46372903,20395255808.000
2024-10-10,428.200,438.800,426.600,429.000,33111230,14647696640.000
2024-10-14,431.000,431.000,414.200,426.200,30316807,13164335616.000
2024-10-15,424.000,424.000,402.800,407.200,33478410,14096594688.000
2024-10-16,405.200,416.000,402.800,406.000,22490256,9408091904.000
2024-10-17,408.200,417.000,400.200,402.800,16476899,6891360512.000
2024-10-18,402.800,425.800,401.600,421.000,25963857,11032073984.000
2024-10-21,420.800,421.600,409.400,411.200,16334100,6931274496.000
2024-10-22,413.400,413.800,408.200,411.800,11027704,4640118272.000
2024-10-23,413.200,422.400,406.800,418.400,14656951,6257381376.000
2024-10-24,415.200,415.800,409.800,412.200,11202752,4728256768.000
2024-10-25,417.800,417.800,408.800,411.200,11951879,5042478336.000
2024-10-28,411.200,412.400,403.800,407.400,15551935,6490536192.000
2024-10-29,409.600,413.600,405.400,408.600,13797786,5779088128.000
2024-10-30,403.800,408.200,400.800,401.200,17895482,7390928896.000
2024-10-31,400.600,409.000,394.800,394.800,22753709,9311202048.000
2024-11-01,396.200,412.600,396.200,409.400,21086569,8772957440.000
2024-11-04,413.200,414.000,406.200,409.200,11706119,4907800576.000
2024-11-05,405.400,418.000,405.400,418.000,15270863,6467649536.000
2024-11-06,415.200,416.400,403.400,410.000,20755203,8721758208.000
2024-11-07,407.200,419.800,404.600,418.600,19924018,8451854848.000
2024-11-08,425.200,426.200,409.600,411.000,19389836,8248754944.000
2024-11-11,402.200,405.800,399.600,403.400,22857586,9415370496.000
2024-11-12,399.600,404.000,393.200,394.000,27303282,11097703424.000
2024-11-13,387.400,397.400,386.200,394.000,28307185,11330712832.000
2024-11-14,391.800,405.200,388.000,393.600,34898922,14209879808.000
2024-11-15,394.200,397.200,389.200,391.200,29061324,11694318592.000
2024-11-18,395.400,403.600,391.800,394.400,20493537,8334918144.000
2024-11-19,396.800,399.200,393.600,396.400,13879296,5642160896.000
2024-11-20,398.400,404.000,396.400,401.000,15005135,6154781952.000
2024-11-21,399.600,401.600,397.200,397.800,12501718,5113866240.000
2024-11-22,399.000,402.600,389.800,390.800,16949546,6864777472.000
2024-11-25,390.200,392.600,384.000,385.400,27888308,11050846464.000
2024-11-26,382.400,389.400,382.400,384.000,16940574,6691211776.000
2024-11-27,384.800,396.400,382.200,393.000,16685594,6663311616.000
2024-11-28,391.600,394.400,387.600,390.200,13067643,5231565824.000
2024-11-29,385.200,393.000,385.200,388.200,15626995,6222578688.000
2024-12-02,388.200,391.800,385.800,390.000,13334410,5315344128.000
2024-12-03,393.400,394.600,384.600,394.600,18362569,7349822464.000
2024-12-04,392.400,395.800,390.000,393.400,14053234,5659584256.000
2024-12-05,393.600,396.800,391.000,395.400,13314801,5387437312.000
2024-12-06,397.000,404.800,395.200,402.800,27711445,11355635200.000
2024-12-09,396.400,411.400,396.400,409.000,22461949,9280106240.000
2024-12-10,420.200,421.200,400.600,401.400,30282843,12685586432.000
2024-12-11,405.000,405.200,397.400,400.000,13098201,5375397888.000
2024-12-12,404.200,413.000,399.400,405.800,23414258,9764008448.000
2024-12-13,403.200,405.200,398.800,400.000,16296064,6700157696.000
2024-12-16,400.200,401.600,394.000,395.800,14059845,5717887488.000
2024-12-17,392.200,398.200,392.000,392.800,16779048,6775381504.000
2024-12-18,398.200,399.000,394.200,396.200,14906072,6055022848.000
2024-12-19,392.400,412.200,391.600,405.400,34671236,14310455040.000
2024-12-20,404.400,420.000,404.400,416.600,44834041,19091460096.000
2024-12-23,420.800,421.200,406.400,410.400,20856154,8789976320.000
2024-12-24,411.200,411.800,407.800,410.200,7873769,3304033744.000
2024-12-27,407.800,411.200,405.800,407.600,13545082,5658808320.000
2024-12-30,408.200,412.000,406.000,409.200,13515622,5658833664.000
2024-12-31,407.400,411.600,406.000,407.200,10867280,4549301760.000
2025-01-02,407.200,415.200,403.800,406.200,20733037,8663880704.000
2025-01-03,408.200,409.200,400.600,404.400,16843241,6981756928.000
2025-01-06,405.200,405.200,397.400,399.600,16869318,6913961984.000
2025-01-07,370.800,383.000,366.800,369.800,142920468,54765124608.000
2025-01-08,361.400,370.000,355.800,359.400,95456188,35455056128.000
2025-01-09,355.200,369.600,355.200,363.600,60578450,22635953920.000
2025-01-10,363.800,369.600,359.800,359.800,37053933,13862840320.000
2025-01-13,355.000,361.800,355.000,356.200,34785015,12807672320.000
2025-01-14,355.800,369.800,355.800,365.200,40623785,15194363136.000
2025-01-15,363.600,375.600,363.200,370.200,29158255,11078584832.000
2025-01-16,374.200,376.800,366.800,372.600,26141103,9980555776.000
2025-01-17,371.200,372.400,368.600,370.000,17138321,6508060672.000
2025-01-20,370.400,383.000,370.400,380.000,31141403,12097853952.000
2025-01-21,382.200,382.400,376.600,377.600,25249668,9804257280.000
2025-01-22,375.200,378.800,371.200,373.600,17859069,6847451648.000
2025-01-23,373.200,376.200,369.800,371.400,21256810,8126061056.000
2025-01-24,373.400,382.600,372.400,380.800,24079119,9365231104.000
